Title,Description,Status,Priority,Labels
"🏗️ Epic 1: Fundación — Setup del proyecto","Setup inicial del monorepo: tooling, base de datos, configuración",Todo,Urgent,Epic 1 - Fundación
"1.1 Inicializar monorepo","pnpm workspace + Turborepo + package.json raíz con scripts. Estructura: apps/api, apps/web, packages/shared",Todo,High,Epic 1 - Fundación
"1.2 Setup NestJS backend","Crear apps/api con NestJS. Configurar main.ts (CORS, prefijo /api, ValidationPipe)",Todo,High,Epic 1 - Fundación
"1.3 Setup Next.js frontend","Crear apps/web con Next.js 15 App Router. Tailwind + shadcn/ui + globals.css",Todo,High,Epic 1 - Fundación
"1.4 Schema Prisma + PostgreSQL","Escribir prisma/schema.prisma: User, Session, Account, Verification, Product, Article, BlogConnection, Subscription, GenerationJob",Todo,High,Epic 1 - Fundación
"1.5 Paquete compartido (@cata/shared)","Crear packages/shared con tipos TypeScript y Zod schemas compartidos entre API y frontend",Todo,High,Epic 1 - Fundación
"1.6 Config ESLint + Prettier + TS","Configurar linting y formato consistente en todos los workspaces",Todo,Medium,Epic 1 - Fundación
"1.7 Variables de entorno","Crear .env con DATABASE_URL, BETTER_AUTH_SECRET, API keys de AI, etc.",Todo,Medium,Epic 1 - Fundación
"","",Todo,Medium,
"🔐 Epic 2: Autenticación","Registro, login, Google OAuth, sesiones JWT con BetterAuth",Todo,Urgent,Epic 2 - Autenticación
"2.1 Módulo BetterAuth backend","Configurar BetterAuth en NestJS con PrismaAdapter. Email/password + Google OAuth. Sesiones de 7 días",Todo,High,Epic 2 - Autenticación
"2.2 Endpoints de auth","POST /auth/register, POST /auth/login, POST /auth/logout, GET /auth/me, POST /auth/google",Todo,High,Epic 2 - Autenticación
"2.3 AuthGuard","Guard de NestJS que valida token Bearer y adjunta user al request",Todo,High,Epic 2 - Autenticación
"2.4 Páginas de login y register","UI con shadcn/ui. AuthForm compartido. Manejo de errores y loading states",Todo,High,Epic 2 - Autenticación
"2.5 SessionProvider frontend","Contexto React con useSession() hook. Login, register, logout, refreshUser",Todo,High,Epic 2 - Autenticación
